EDA,HR,IBI,TEMP
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
n/a,n/a,n/a,n/a
n/a,n/a,n/a,n/a
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
n/a,n/a,n/a,n/a
n/a,n/a,n/a,n/a
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
4007 (0.994),0 (0.000),0 (0.000),0 (0.000)
260 (0.045),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
6701 (0.996),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
2 (0.001),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),n/a,0 (0.000)
15 (0.003),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
1 (0.000),0 (0.000),0 (0.000),0 (0.000)
